country,2010,2011,2012,2013,2014,2015,2016
Tunisia,32.2,32.35,32.5,32.7,33.1,33.300000000000004,33.449999999999996
Turkey,31.25,30.65,30.0,29.4,28.8,28.15,27.6
Uganda,12.3,11.9,11.450000000000001,11.049999999999999,10.75,10.4,10.049999999999999
Ukraine,33.15,32.699999999999996,32.25,31.9,31.4,30.950000000000003,30.45
United Arab Emirates,18.55,18.55,18.75,18.9,19.0,19.049999999999997,19.3
United Kingdom,27.3,26.35,25.549999999999997,24.65,23.8,23.15,22.35
United States,24.9,24.4,23.950000000000003,23.35,22.8,22.35,21.85
Uruguay,25.95,24.049999999999997,22.5,20.95,19.5,18.25,16.95
Uzbekistan,14.049999999999999,13.85,13.649999999999999,13.549999999999999,13.35,13.15,13.0
Vanuatu,22.5,21.799999999999997,21.200000000000003,20.45,19.9,19.25,18.65
Vietnam,24.349999999999998,24.05,24.1,23.85,23.7,23.7,23.45
Yemen,19.85,19.55,19.45,19.0,18.85,18.65,18.4
Zambia,15.35,15.0,14.850000000000001,14.55,14.399999999999999,14.1,13.9
Zimbabwe,16.75,16.7,16.6,16.5,16.35,16.25,16.15
